Time,nsm,nlg,nsmz,nmdz,nlgz,no3,sio4,po4
2013-01-02 12:00:00,7.61512675023265E-08,6.43896803465418E-08,1.15025388824243E-07,5.0037478472822E-08,1.21423224530126E-08,1.58178646339404E-06,3.03791383309295E-06,1.65018116699695E-07
2013-01-03 00:00:00,6.82077706666862E-08,6.29539725868197E-08,1.27287631056382E-07,5.25178103554813E-08,1.25621049316614E-08,1.53686429304713E-06,2.92924526054274E-06,1.62071233476698E-07
2013-01-03 12:00:00,6.97472822460649E-08,6.54076195057519E-08,1.29431136768361E-07,5.34253346393714E-08,1.26288535003085E-08,1.4940704127371E-06,2.82156375620877E-06,1.58947325647796E-07
2013-01-04 00:00:00,5.92429503679325E-08,6.27289820488557E-08,1.3169773920439E-07,5.39240165660885E-08,1.26526495442724E-08,1.44146384678609E-06,2.6921219804447E-06,1.56245709809517E-07
2013-01-04 12:00:00,6.40306096737928E-08,6.68717152097956E-08,1.32863834464309E-07,5.49166222857245E-08,1.27395595759979E-08,1.41606793811728E-06,2.6454208572157E-06,1.54147917640614E-07
2013-01-05 00:00:00,5.5972244883222E-08,6.41956556403137E-08,1.27398154581304E-07,5.54770700835888E-08,1.2755676587894E-08,1.39985576994118E-06,2.6128430983986E-06,1.53637111305534E-07
2013-01-05 12:00:00,6.72985441897874E-08,6.91244631674038E-08,1.20622098297441E-07,5.52272250621376E-08,1.25864024348973E-08,1.38903774474291E-06,2.56789416412487E-06,1.51677818935179E-07
2013-01-06 00:00:00,6.2057712539837E-08,6.59708973576035E-08,1.15050671669179E-07,5.52023699545417E-08,1.24717810974239E-08,1.38077973097946E-06,2.53177275598796E-06,1.51317561281467E-07
2013-01-06 12:00:00,7.3908940602364E-08,6.82084333092808E-08,1.07876342010287E-07,5.41044125611955E-08,1.2101137350999E-08,1.38915676454269E-06,2.49041667970082E-06,1.51318059707874E-07
2013-01-07 00:00:00,6.52373001097016E-08,6.36242010322311E-08,1.03930232466257E-07,5.29527851940566E-08,1.1684932248553E-08,1.44016996189537E-06,2.53304121180816E-06,1.56430747424318E-07
2013-01-07 12:00:00,7.86178624416508E-08,6.70294379135042E-08,9.93307343505512E-08,5.20450118746777E-08,1.13958771057796E-08,1.47532883260565E-06,2.54961446181321E-06,1.58552787801973E-07
2013-01-08 00:00:00,7.15031172398025E-08,6.34689632300458E-08,9.70889212916485E-08,5.15176893375468E-08,1.12415037866199E-08,1.47329901810373E-06,2.52219667373765E-06,1.59649193301995E-07
2013-01-08 12:00:00,9.14133831575091E-08,6.88214356416931E-08,9.75541940023422E-08,5.20265264604163E-08,1.13252511099437E-08,1.44976050739516E-06,2.50167953430708E-06,1.56914033226327E-07
2013-01-09 00:00:00,8.49221619240692E-08,6.53441898556169E-08,9.80637486258222E-08,5.2737699856579E-08,1.15260614377408E-08,1.40386865215961E-06,2.39611561222433E-06,1.54503851400606E-07
2013-01-09 12:00:00,1.00242119756689E-07,6.87432007530951E-08,1.0032421840003E-07,5.35725545967928E-08,1.1749662186946E-08,1.32025932338786E-06,2.27875899324981E-06,1.47759057041834E-07
2013-01-10 00:00:00,9.00933229955574E-08,6.45856479388794E-08,1.03362853596233E-07,5.39546533046377E-08,1.19240465128493E-08,1.33829966244969E-06,2.3084387679285E-06,1.50038491817652E-07
2013-01-10 12:00:00,1.07363848014028E-07,6.77700524724609E-08,1.04950920463811E-07,5.4079859834165E-08,1.19831775223858E-08,1.29692162929449E-06,2.2559011445137E-06,1.46060487465721E-07
2013-01-11 00:00:00,9.50710630798568E-08,6.39564625303326E-08,1.06087664779598E-07,5.42942613606484E-08,1.19913536660348E-08,1.30226344726693E-06,2.28016567838667E-06,1.47576922361509E-07
2013-01-11 12:00:00,1.11476244040361E-07,6.69663193634653E-08,1.06037172333096E-07,5.45433536312837E-08,1.19770187835617E-08,1.29082673254135E-06,2.25909480040472E-06,1.4569310942313E-07
2013-01-12 00:00:00,9.79052729000451E-08,6.28382908472264E-08,1.05819805071048E-07,5.48009999269292E-08,1.19618547519185E-08,1.3114267698825E-06,2.29575262894521E-06,1.48256905267713E-07
2013-01-12 12:00:00,1.09985524135314E-07,6.55221354921959E-08,1.05496491490665E-07,5.5659093789609E-08,1.20322209004983E-08,1.26090506362038E-06,2.21185003661146E-06,1.43734965156485E-07
2013-01-13 00:00:00,9.83341764926676E-08,6.24562742488305E-08,1.07729388233743E-07,5.66846675452823E-08,1.21579407210269E-08,1.24118512111401E-06,2.19129273611512E-06,1.43188145015026E-07
2013-01-13 12:00:00,1.10802005319788E-07,6.63960978421927E-08,1.10298492464916E-07,5.76355082057084E-08,1.21389093936571E-08,1.19416291762714E-06,2.12936003239715E-06,1.38861797249787E-07
2013-01-14 00:00:00,9.79755797754941E-08,6.31179342490502E-08,1.11571656663862E-07,5.83127720720829E-08,1.21541887168414E-08,1.14405684178497E-06,2.05344224703685E-06,1.36433401143733E-07
2013-01-14 12:00:00,1.09447994101509E-07,6.704089285605E-08,1.15443310339859E-07,5.98694650574718E-08,1.22899882904705E-08,1.08567132391366E-06,1.96938288934611E-06,1.31249776420766E-07
2013-01-15 00:00:00,9.36185736247193E-08,6.32639845134218E-08,1.13687158257565E-07,6.01425833814684E-08,1.21773204048839E-08,1.10422095708909E-06,1.99843041463632E-06,1.33839729533048E-07
2013-01-15 12:00:00,1.06174795746898E-07,6.64874142561441E-08,1.14853606721436E-07,6.05132276561888E-08,1.21539747337022E-08,1.10850216541966E-06,2.02405607821552E-06,1.33090949762559E-07
2013-01-16 00:00:00,8.89162007736563E-08,6.4045699389877E-08,1.22157229080719E-07,6.2762675647108E-08,1.23565839288527E-08,1.11346200700903E-06,2.02765965917207E-06,1.34582430000801E-07
2013-01-16 12:00:00,9.87205366572121E-08,6.82060362717022E-08,1.23108683507286E-07,6.40887178297469E-08,1.2489638187131E-08,1.13109470442051E-06,2.0669151785552E-06,1.34645124611453E-07
2013-01-17 00:00:00,8.34602687016195E-08,6.52626827279102E-08,1.24681692764026E-07,6.51970792033356E-08,1.24838886870064E-08,1.17099695810271E-06,2.09304583448668E-06,1.38474452359735E-07
2013-01-17 12:00:00,9.51813409121641E-08,7.01683468416551E-08,1.26548437803688E-07,6.67394245147386E-08,1.26371989856432E-08,1.1323067874604E-06,2.02392287509878E-06,1.34426457360502E-07
2013-01-18 00:00:00,8.03119481903474E-08,6.69643742577574E-08,1.26773094184631E-07,6.80923306628913E-08,1.27259250397121E-08,1.16290244449899E-06,2.06949882057168E-06,1.37543875336683E-07
2013-01-18 12:00:00,8.92704217564806E-08,7.19483805964245E-08,1.2872480803304E-07,7.0191830497678E-08,1.2947183102063E-08,1.15833257703521E-06,2.0635572780706E-06,1.36128123880779E-07
2013-01-19 00:00:00,7.30775801477747E-08,6.76463633641097E-08,1.28307504259385E-07,7.13552119996259E-08,1.31209433353236E-08,1.19020369183388E-06,2.12376997179484E-06,1.39528566240828E-07
2013-01-19 12:00:00,8.43652194124749E-08,7.09139647697627E-08,1.28422744701923E-07,7.19074528988378E-08,1.33610949854588E-08,1.2374058696014E-06,2.18753739039487E-06,1.41645636429871E-07
2013-01-20 00:00:00,7.48610993857746E-08,6.54871118499691E-08,1.27111863836239E-07,7.20897121046009E-08,1.38842608223823E-08,1.23236841539529E-06,2.20824523105045E-06,1.41911175690161E-07
2013-01-20 12:00:00,8.60153805601908E-08,6.7974589942246E-08,1.24123173848281E-07,7.27799079769206E-08,1.44885537060923E-08,1.27965900793578E-06,2.29548883123285E-06,1.43838068929809E-07
2013-01-21 00:00:00,7.49899772115231E-08,6.1961099184894E-08,1.20594012720547E-07,7.21704493718193E-08,1.50212018027771E-08,1.33486711000831E-06,2.3645219290482E-06,1.48259887105506E-07
2013-01-21 12:00:00,8.6687486807561E-08,6.47521684771522E-08,1.18936759638115E-07,7.33055216368104E-08,1.55941267337613E-08,1.33482921025747E-06,2.39529729754538E-06,1.46519186394678E-07
2013-01-22 00:00:00,7.55957813198206E-08,5.99967169314409E-08,1.14999958467228E-07,7.28328673992921E-08,1.571407258056E-08,1.43715617329923E-06,2.53446000765373E-06,1.54225479124999E-07
2013-01-22 12:00:00,8.6859383050978E-08,6.3350407047257E-08,1.13535074833966E-07,7.3431116254561E-08,1.58290876240141E-08,1.45167792225128E-06,2.56122161732624E-06,1.54137845298554E-07
2013-01-23 00:00:00,7.76941603147326E-08,5.97071824993028E-08,1.11759732435702E-07,7.391754089794E-08,1.59340638929549E-08,1.49656573251036E-06,2.6390632912179E-06,1.57526439377172E-07
2013-01-23 12:00:00,8.93283632240582E-08,6.17440115378084E-08,1.08274306116643E-07,7.31357703783553E-08,1.58016971763222E-08,1.55324282973109E-06,2.69563602956537E-06,1.60291660920865E-07
2013-01-24 00:00:00,7.99423624720812E-08,5.80026941129231E-08,1.05346492524564E-07,7.19795601844191E-08,1.55970103639148E-08,1.62801642009494E-06,2.79724607223149E-06,1.66060230700804E-07
2013-01-24 12:00:00,9.58814255577899E-08,6.14061534070666E-08,1.03034408755198E-07,7.16765183349763E-08,1.54931119833803E-08,1.62450451048213E-06,2.77023279678699E-06,1.64653996251906E-07
2013-01-25 00:00:00,8.65442771056816E-08,5.76383021765144E-08,1.02813192756408E-07,6.97687131710215E-08,1.51528442139948E-08,1.69314749752955E-06,2.87161536633553E-06,1.70837675918056E-07
2013-01-25 12:00:00,1.03578522097246E-07,6.18986354154564E-08,1.14479249295688E-07,6.97332152825908E-08,1.51299836030499E-08,1.68365367140106E-06,2.88363732436264E-06,1.6941734109058E-07
2013-01-26 00:00:00,9.48334207516682E-08,5.8708493862057E-08,1.09048043394064E-07,6.95146104545264E-08,1.50191393819857E-08,1.65986077415854E-06,2.83855854574067E-06,1.68782408720303E-07
2013-01-26 12:00:00,1.13403017426921E-07,6.28465466810301E-08,1.11311361293694E-07,7.01698072287104E-08,1.5010417104376E-08,1.63676225820099E-06,2.83040759977194E-06,1.65930428656168E-07
2013-01-27 00:00:00,9.81351381687E-08,5.83469605370412E-08,1.08243461440639E-07,6.98575830008005E-08,1.48706917403749E-08,1.63749357084033E-06,2.82655135434583E-06,1.67251075490791E-07
2013-01-27 12:00:00,1.14003780515871E-07,6.22716399652698E-08,1.09215191852659E-07,7.05860151056327E-08,1.48324732806914E-08,1.57063621612243E-06,2.70177006592957E-06,1.61320570576855E-07
